Target URL,Grafana Version,CVE ID,Severity,Description,Message,Test URL,Timestamp
https://api.intercom.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:32:04.313686
https://app.intercom.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:32:05.428167
https://app.intercom.io,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:33:28.978847
https://www.intercom.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:34:53.050028
https://mcp.intercom.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:37:25.622853
https://api-iam.intercom.io,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:37:52.237733
https://fin.ai,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:37:55.397887
https://app.fin.ai,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:39:02.973820
https://www.carsdirect.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:40:26.445462
https://pets.webmd.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:40:28.448470
https://member.webmd.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:40:31.780214
https://www.mdedge.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://www.mdedge.com//api/snapshots,2026-05-19T04:42:21.443757
https://www.mdedge.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://www.mdedge.com/dashboard/snapshot/50,2026-05-19T04:42:21.443757
https://accounts.webmd.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: member.webmd.com | Open redirect to external domain: member.webmd.com | Open redirect via login redirect parameter,https://accounts.webmd.com//api/snapshots,2026-05-19T04:43:25.454919
https://powerpak.com,2024.11.0,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.powerpak.com | Open redirect to external domain: www.powerpak.com | Open redirect via login redirect parameter,https://powerpak.com//api/snapshots,2026-05-19T04:45:37.559701
https://profreg.medscape.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:47:20.312125
https://www.globalacademycme.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.medscapelive.com | Open redirect to external domain: www.medscapelive.com | Open redirect via login redirect parameter,https://www.globalacademycme.com//api/snapshots,2026-05-19T04:47:23.266208
https://www.webmd.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:49:57.594118
